1位	  19,452,000pt
2位	  18,373,870pt
3位	  17,683,420pt
9位	  10,935,080pt
10位	  10,404,160pt
11位	  10,000,000pt
19位	  6,836,495pt
20位	  6,829,545pt
21位	  6,488,052pt
29位	  4,768,146pt
30位	  4,692,310pt
149位	  2,876,056pt
150位	  2,857,169pt
499位	  1,626,765pt
500位	  1,626,099pt
999位	  806,730pt
1000位	  806,556pt
1999位	  555,675pt
2000位	  555,243pt
2999位	  459,676pt
3000位	  459,486pt
4999位	  346,940pt
5000位	  346,935pt
7999位	  216,584pt
8000位	  216,548pt
2021/03/19 10:48	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-03-19T10:48:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
