1位	  14,362,480pt
2位	  12,837,144pt
3位	  12,135,800pt
9位	  9,000,000pt
10位	  8,027,620pt
11位	  7,760,220pt
19位	  5,860,952pt
20位	  5,713,915pt
21位	  4,988,510pt
29位	  4,356,410pt
30位	  4,340,420pt
149位	  1,947,778pt
150位	  1,933,867pt
499位	  936,926pt
500位	  935,724pt
999位	  583,907pt
1000位	  583,752pt
1999位	  414,580pt
2000位	  414,555pt
2999位	  344,480pt
3000位	  344,464pt
4999位	  246,795pt
5000位	  246,586pt
7999位	  143,095pt
8000位	  143,070pt
2021/03/17 11:49	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-03-17T11:49:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
