1位	  15,211,260pt
2位	  6,327,880pt
3位	  5,512,370pt
9位	  3,229,800pt
10位	  2,904,830pt
11位	  2,534,882pt
19位	  1,933,900pt
20位	  1,921,040pt
21位	  1,827,960pt
29位	  1,258,430pt
30位	  1,232,694pt
149位	  459,090pt
150位	  458,750pt
499位	  211,634pt
500位	  211,295pt
999位	  129,360pt
1000位	  129,000pt
1999位	  83,315pt
2000位	  83,310pt
2999位	  62,605pt
3000位	  62,570pt
4999位	  39,079pt
5000位	  39,075pt
7999位	  18,575pt
8000位	  18,570pt
2021/02/03 00:12	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-03T00:12:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
