1位	  19,507,060pt
2位	  9,061,210pt
3位	  7,843,480pt
9位	  4,985,480pt
10位	  4,425,660pt
11位	  3,947,245pt
19位	  3,457,770pt
20位	  3,454,735pt
21位	  3,430,460pt
29位	  2,714,208pt
30位	  2,675,422pt
149位	  889,833pt
150位	  885,241pt
499位	  419,739pt
500位	  418,829pt
999位	  271,189pt
1000位	  271,055pt
1999位	  180,592pt
2000位	  180,560pt
2999位	  138,300pt
3000位	  138,277pt
4990位	  88,365pt
4999位	  88,165pt
5000位	  88,158pt
7999位	  41,905pt
8000位	  41,900pt
2021/02/05 22:58	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-05T22:58:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
