1位	  22,807,640pt
2位	  12,041,980pt
3位	  10,604,630pt
9位	  6,410,500pt
10位	  6,215,770pt
11位	  6,129,073pt
19位	  5,060,608pt
20位	  4,714,820pt
21位	  4,681,660pt
29位	  3,944,746pt
30位	  3,789,005pt
149位	  1,188,127pt
150位	  1,180,700pt
499位	  557,584pt
500位	  556,979pt
999位	  335,504pt
1000位	  335,422pt
1999位	  228,215pt
2000位	  228,200pt
2999位	  176,605pt
3000位	  176,510pt
4999位	  114,466pt
5000位	  114,440pt
7999位	  55,498pt
8000位	  55,495pt
2021/02/07 00:13	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-07T00:13:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
