1位	  8,247,160pt
2位	  4,340,840pt
3位	  3,727,940pt
9位	  2,237,280pt
10位	  2,137,805pt
11位	  2,077,180pt
19位	  1,279,661pt
20位	  1,210,303pt
21位	  1,161,173pt
29位	  927,092pt
30位	  899,025pt
149位	  303,284pt
150位	  302,467pt
499位	  128,600pt
500位	  128,598pt
999位	  78,820pt
1000位	  78,798pt
1999位	  47,100pt
2000位	  47,085pt
3000位	33850pt(同順位補正)
4999位	  20,345pt
4999位	  20,345pt
5000位	20345pt(同順位補正)
7990位	  9,765pt
8000位	9740pt(同順位補正)
2021/02/01 22:17	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-01T22:17:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
