1位	  9,303,480pt
2位	  4,743,730pt
3位	  4,113,315pt
9位	  2,311,260pt
10位	  2,237,280pt
11位	  2,165,705pt
19位	  1,358,380pt
20位	  1,321,971pt
21位	  1,280,573pt
29位	  974,393pt
30位	  955,172pt
149位	  329,663pt
150位	  328,970pt
499位	  143,790pt
500位	  143,270pt
999位	  88,527pt
1000位	  88,526pt
1999位	  53,607pt
2000位	  53,600pt
2999位	  39,320pt
2999位	  39,320pt
3000位	39320pt(同順位補正)
4990位	  24,200pt
4999位	  24,140pt
5000位	  24,120pt
7999位	  11,815pt
8000位	  11,810pt
2021/02/02 01:05	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-02T01:05:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
