1位	  2,911,575pt
2位	  2,452,310pt
3位	  2,386,842pt
9位	  1,229,976pt
10位	  1,211,790pt
11位	  1,135,955pt
19位	  837,883pt
20位	  800,435pt
21位	  753,027pt
29位	  578,186pt
30位	  515,170pt
149位	  181,449pt
150位	  181,385pt
499位	  70,328pt
500位	  70,254pt
999位	  38,665pt
1000位	  38,609pt
1999位	  21,010pt
2000位	  20,980pt
2999位	  15,155pt
3000位	  15,145pt
4989位	  9,450pt
4989位	  9,450pt
4989位	  9,450pt
4989位	  9,450pt
4999位	  9,430pt
4999位	  9,430pt
5000位	9430pt(同順位補正)
7999位	  4,600pt
7999位	  4,600pt
8000位	4600pt(同順位補正)
2021/02/01 01:39	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-01T01:39:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
