1位	  19,507,060pt
2位	  9,071,110pt
3位	  7,843,480pt
9位	  4,985,480pt
10位	  4,425,660pt
11位	  3,955,645pt
19位	  3,500,220pt
20位	  3,470,370pt
21位	  3,430,460pt
29位	  2,714,208pt
30位	  2,675,422pt
149位	  889,833pt
150位	  888,361pt
499位	  419,739pt
500位	  419,630pt
999位	  271,411pt
1000位	  271,205pt
1999位	  180,612pt
2000位	  180,592pt
2999位	  138,800pt
3000位	  138,690pt
4990位	  88,390pt
4999位	  88,325pt
5000位	  88,280pt
7999位	  42,010pt
8000位	  41,985pt
2021/02/05 23:03	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-05T23:03:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
