1位	  17,001,780pt
2位	  7,268,920pt
3位	  7,107,530pt
9位	  4,479,830pt
10位	  3,571,080pt
11位	  3,200,380pt
19位	  2,501,925pt
20位	  2,481,005pt
21位	  2,310,800pt
29位	  1,694,555pt
30位	  1,679,907pt
149位	  668,755pt
150位	  661,178pt
499位	  318,797pt
500位	  318,455pt
999位	  196,047pt
1000位	  195,955pt
1999位	  128,330pt
2000位	  128,302pt
2999位	  98,315pt
3000位	  98,307pt
4999位	  62,290pt
5000位	  62,231pt
7990位	  29,200pt
7990位	  29,200pt
8000位	  29,140pt
2021/02/04 12:12	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-04T12:12:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
