1位	  15,562,460pt
2位	  6,838,380pt
3位	  5,952,190pt
9位	  3,591,365pt
10位	  3,571,080pt
11位	  2,979,218pt
19位	  2,020,256pt
20位	  2,018,570pt
21位	  1,921,040pt
29位	  1,474,525pt
30位	  1,444,266pt
149位	  545,600pt
150位	  541,187pt
499位	  251,755pt
500位	  251,537pt
999位	  156,894pt
1000位	  156,840pt
1999位	  102,245pt
2000位	  102,203pt
2999位	  77,455pt
3000位	  77,400pt
4999位	  47,975pt
5000位	  47,965pt
7999位	  22,215pt
8000位	  22,214pt
2021/02/03 17:06	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-03T17:06:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
