1位	  26,719,180pt
2位	  12,861,380pt
3位	  12,194,260pt
9位	  6,999,900pt
10位	  6,995,893pt
11位	  6,976,990pt
19位	  5,825,128pt
20位	  5,558,930pt
21位	  5,306,140pt
29位	  4,051,800pt
30位	  3,980,656pt
149位	  1,411,575pt
150位	  1,410,382pt
499位	  678,662pt
500位	  677,525pt
999位	  385,117pt
1000位	  384,744pt
1999位	  263,470pt
2000位	  263,290pt
2999位	  209,073pt
3000位	  208,900pt
4999位	  136,460pt
5000位	  136,446pt
7999位	  65,670pt
8000位	  65,655pt
2021/02/07 11:07	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-07T11:07:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
