1位	  18,548,420pt
2位	  8,751,130pt
3位	  7,843,480pt
9位	  4,962,980pt
10位	  4,199,160pt
11位	  3,813,762pt
19位	  3,186,115pt
20位	  3,144,473pt
21位	  3,129,070pt
29位	  2,329,575pt
30位	  2,207,415pt
149位	  825,309pt
150位	  824,556pt
499位	  396,787pt
500位	  396,642pt
999位	  252,223pt
1000位	  252,213pt
1999位	  168,493pt
2000位	  168,490pt
2999位	  129,910pt
3000位	  129,845pt
4999位	  82,370pt
5000位	  82,359pt
7999位	  38,994pt
8000位	  38,990pt
2021/02/05 17:01	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-05T17:01:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
