1位	  20,680,160pt
2位	  9,439,130pt
3位	  8,798,300pt
9位	  5,349,300pt
10位	  4,790,235pt
11位	  4,678,220pt
19位	  4,231,773pt
20位	  4,034,514pt
21位	  3,932,326pt
29位	  3,123,908pt
30位	  3,109,030pt
149位	  974,395pt
150位	  969,738pt
499位	  472,778pt
500位	  472,173pt
999位	  301,409pt
1000位	  301,093pt
1999位	  201,665pt
2000位	  201,575pt
2999位	  154,186pt
3000位	  154,165pt
5000位	  98,070pt
7999位	  47,455pt
8000位	  47,450pt
2021/02/06 13:03	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-06T13:03:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
