1位	  3,498,700pt
2位	  3,000,325pt
3位	  2,522,125pt
9位	  1,978,145pt
10位	  1,648,940pt
11位	  1,440,836pt
19位	  972,953pt
20位	  957,585pt
21位	  929,740pt
29位	  784,927pt
30位	  709,855pt
149位	  254,317pt
150位	  252,380pt
499位	  109,115pt
500位	  108,866pt
999位	  65,295pt
1000位	  65,260pt
1990位	  37,470pt
1999位	  37,380pt
2000位	  37,375pt
2999位	  26,790pt
2999位	  26,790pt
3000位	26790pt(同順位補正)
4989位	  16,380pt
4999位	  16,350pt
5000位	  16,335pt
7999位	  7,545pt
8000位	  7,540pt
2021/02/01 17:06	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-01T17:06:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
