1位	  16,589,240pt
2位	  6,838,380pt
3位	  6,487,810pt
9位	  4,122,660pt
10位	  3,571,080pt
11位	  3,158,610pt
19位	  2,176,206pt
20位	  2,140,950pt
21位	  2,096,656pt
29位	  1,609,959pt
30位	  1,584,088pt
149位	  610,109pt
150位	  609,260pt
499位	  282,702pt
500位	  282,600pt
999位	  175,460pt
1000位	  175,352pt
1999位	  114,915pt
2000位	  114,810pt
2990位	  87,815pt
2999位	  87,640pt
2999位	  87,640pt
3000位	87640pt(同順位補正)
4999位	  55,430pt
5000位	  55,415pt
8000位	26180pt(同順位補正)
2021/02/04 00:08	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-04T00:08:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
