1位	  13,769,580pt
2位	  6,327,880pt
3位	  5,486,105pt
9位	  3,229,800pt
10位	  2,904,830pt
11位	  2,534,882pt
19位	  1,921,040pt
20位	  1,882,725pt
21位	  1,827,960pt
29位	  1,232,694pt
30位	  1,230,120pt
149位	  437,953pt
150位	  437,265pt
499位	  204,775pt
500位	  204,324pt
999位	  127,560pt
1000位	  127,464pt
1999位	  80,705pt
2000位	  80,679pt
2999位	  61,085pt
3000位	  61,080pt
4990位	  37,715pt
5000位	  37,605pt
7990位	  17,765pt
7999位	  17,735pt
8000位	  17,730pt
2021/02/02 23:13	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-02T23:13:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
