1位	  18,548,420pt
2位	  8,751,130pt
3位	  7,843,480pt
9位	  4,962,980pt
10位	  4,199,160pt
11位	  3,813,762pt
19位	  3,186,115pt
20位	  3,126,510pt
21位	  3,119,873pt
29位	  2,329,575pt
30位	  2,207,415pt
149位	  825,309pt
150位	  824,556pt
499位	  396,642pt
500位	  395,103pt
999位	  252,213pt
1000位	  252,199pt
1999位	  168,355pt
2000位	  168,285pt
2999位	  129,715pt
3000位	  129,655pt
4999位	  82,230pt
4999位	  82,230pt
5000位	82230pt(同順位補正)
7999位	  38,920pt
8000位	  38,905pt
2021/02/05 16:51	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-05T16:51:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
