1位	  22,807,640pt
2位	  12,041,980pt
3位	  10,492,430pt
9位	  6,358,562pt
10位	  6,149,950pt
11位	  6,109,873pt
19位	  4,929,048pt
20位	  4,710,520pt
21位	  4,681,660pt
29位	  3,789,005pt
30位	  3,737,715pt
149位	  1,146,211pt
150位	  1,130,473pt
499位	  547,210pt
500位	  545,961pt
999位	  331,425pt
1000位	  331,350pt
1999位	  224,992pt
2000位	  224,931pt
2999位	  174,180pt
3000位	  174,155pt
4999位	  112,080pt
5000位	  112,075pt
7999位	  53,740pt
8000位	  53,708pt
2021/02/06 23:20	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-06T23:20:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
