1位	  19,700,660pt
2位	  9,311,050pt
3位	  8,378,660pt
9位	  5,004,880pt
10位	  4,425,660pt
11位	  4,176,720pt
19位	  3,654,180pt
20位	  3,624,925pt
21位	  3,557,334pt
29位	  2,775,890pt
30位	  2,747,300pt
149位	  914,086pt
150位	  912,072pt
499位	  436,756pt
500位	  436,573pt
999位	  278,188pt
1000位	  278,145pt
1999位	  186,392pt
2000位	  186,248pt
2999位	  143,320pt
3000位	  143,290pt
5000位	91230pt(同順位補正)
7999位	  43,990pt
8000位	  43,985pt
2021/02/06 01:09	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-06T01:09:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
