1位	  9,100,140pt
2位	  4,478,580pt
3位	  3,729,340pt
9位	  2,237,280pt
10位	  2,157,220pt
11位	  2,137,805pt
19位	  1,279,661pt
20位	  1,279,373pt
21位	  1,210,303pt
29位	  953,610pt
30位	  927,092pt
149位	  316,524pt
150位	  316,096pt
499位	  133,895pt
500位	  133,850pt
999位	  82,145pt
1000位	  82,090pt
1999位	  49,350pt
2000位	  49,295pt
2999位	  35,790pt
3000位	  35,765pt
4999位	  21,520pt
5000位	  21,517pt
8000位	  10,485pt
2021/02/01 23:15	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-01T23:15:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
