1位	  17,001,780pt
2位	  7,001,090pt
3位	  6,995,560pt
9位	  4,419,260pt
10位	  3,571,080pt
11位	  3,200,380pt
19位	  2,481,005pt
20位	  2,306,000pt
21位	  2,295,055pt
29位	  1,694,555pt
30位	  1,679,907pt
149位	  655,385pt
150位	  654,548pt
499位	  315,275pt
500位	  314,638pt
999位	  194,070pt
1000位	  193,700pt
1999位	  127,095pt
2000位	  127,080pt
2999位	  97,375pt
3000位	  97,373pt
4989位	  61,730pt
4999位	  61,575pt
4999位	  61,575pt
5000位	61575pt(同順位補正)
7999位	  28,740pt
8000位	  28,735pt
2021/02/04 11:11	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-04T11:11:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
