1位	  23,001,080pt
2位	  12,067,420pt
3位	  10,730,730pt
9位	  6,412,000pt
10位	  6,307,270pt
11位	  6,143,773pt
19位	  5,298,428pt
20位	  4,714,820pt
21位	  4,681,660pt
29位	  3,972,556pt
30位	  3,789,005pt
149位	  1,229,942pt
150位	  1,226,575pt
499位	  566,810pt
500位	  565,974pt
999位	  345,203pt
1000位	  345,141pt
1999位	  234,850pt
2000位	  234,811pt
2999位	  182,180pt
3000位	  182,175pt
4999位	  117,695pt
5000位	  117,655pt
7999位	  57,447pt
8000位	  57,430pt
2021/02/07 01:14	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-07T01:14:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
