1位	  3,498,700pt
2位	  3,099,990pt
3位	  2,740,825pt
9位	  2,066,600pt
10位	  1,761,260pt
11位	  1,447,436pt
19位	  1,022,580pt
20位	  982,928pt
21位	  977,085pt
29位	  804,000pt
30位	  784,927pt
149位	  268,327pt
150位	  264,995pt
499位	  116,164pt
500位	  116,150pt
999位	  69,452pt
1000位	  69,440pt
2000位	40490pt(同順位補正)
2990位	  29,315pt
2999位	  29,235pt
3000位	  29,234pt
4999位	  17,455pt
5000位	  17,440pt
8000位	  8,115pt
2021/02/01 19:12	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-01T19:12:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
