1位	  15,562,460pt
2位	  6,838,380pt
3位	  5,952,190pt
9位	  3,571,080pt
10位	  3,516,065pt
11位	  2,979,218pt
19位	  2,020,256pt
20位	  2,018,570pt
21位	  1,921,040pt
29位	  1,392,085pt
30位	  1,390,680pt
149位	  520,260pt
150位	  519,800pt
499位	  243,517pt
500位	  243,160pt
999位	  149,290pt
1000位	  149,285pt
1999位	  97,710pt
2000位	  97,690pt
2999位	  74,100pt
3000位	  74,040pt
4999位	  46,215pt
5000位	  46,205pt
8000位	  21,305pt
2021/02/03 13:09	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-03T13:09:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
