1位	  18,548,420pt
2位	  8,751,130pt
3位	  7,620,365pt
9位	  4,947,080pt
10位	  4,199,160pt
11位	  3,813,762pt
19位	  3,040,083pt
20位	  2,953,078pt
21位	  2,935,660pt
29位	  2,329,575pt
30位	  2,137,479pt
149位	  816,190pt
150位	  812,917pt
499位	  387,180pt
500位	  384,721pt
999位	  247,006pt
1000位	  246,865pt
2000位	  164,564pt
2999位	  125,905pt
3000位	  125,850pt
4999位	  80,270pt
5000位	  80,245pt
7999位	  37,869pt
8000位	  37,865pt
2021/02/05 13:03	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-05T13:03:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
