1位	  28,829,020pt
2位	  15,609,660pt
3位	  13,671,060pt
9位	  7,692,058pt
10位	  7,676,693pt
11位	  7,511,820pt
19位	  6,178,300pt
20位	  6,000,110pt
21位	  5,313,340pt
29位	  4,100,040pt
30位	  4,000,042pt
149位	  1,635,360pt
150位	  1,634,265pt
499位	  787,110pt
500位	  784,901pt
999位	  424,132pt
1000位	  423,851pt
1999位	  281,036pt
2000位	  280,980pt
2999位	  227,637pt
3000位	  227,630pt
4999位	  148,755pt
5000位	  148,750pt
7990位	  71,785pt
7999位	  71,583pt
8000位	  71,542pt
2021/02/07 12:50	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-07T12:50:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
