1位	  18,548,420pt
2位	  8,751,130pt
3位	  7,803,400pt
9位	  4,955,480pt
10位	  4,199,160pt
11位	  3,813,762pt
19位	  3,153,125pt
20位	  3,086,495pt
21位	  2,982,418pt
29位	  2,329,575pt
30位	  2,207,415pt
149位	  825,309pt
150位	  824,556pt
499位	  394,490pt
500位	  394,420pt
999位	  251,640pt
1000位	  251,619pt
1999位	  167,488pt
2000位	  167,420pt
2999位	  129,330pt
3000位	  129,317pt
4999位	  82,040pt
5000位	  82,035pt
7999位	  38,720pt
8000位	  38,685pt
2021/02/05 16:11	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-05T16:11:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
