1位	  28,772,620pt
2位	  15,606,060pt
3位	  13,039,780pt
9位	  7,225,695pt
10位	  7,199,080pt
11位	  7,173,800pt
19位	  6,043,248pt
20位	  6,000,110pt
21位	  5,308,840pt
29位	  4,100,040pt
30位	  4,000,042pt
149位	  1,560,455pt
150位	  1,539,966pt
499位	  743,698pt
500位	  742,706pt
999位	  407,712pt
1000位	  407,235pt
1999位	  275,002pt
2000位	  274,896pt
2999位	  220,899pt
3000位	  220,890pt
4999位	  144,205pt
5000位	  144,195pt
7999位	  69,795pt
8000位	  69,793pt
2021/02/07 12:25	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-07T12:25:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
