1位	  17,001,780pt
2位	  7,677,150pt
3位	  7,466,920pt
9位	  4,479,830pt
10位	  3,571,080pt
11位	  3,359,922pt
19位	  2,561,665pt
20位	  2,522,268pt
21位	  2,453,955pt
29位	  1,796,564pt
30位	  1,781,525pt
149位	  696,785pt
150位	  682,270pt
499位	  331,095pt
500位	  330,310pt
999位	  204,425pt
1000位	  203,967pt
1999位	  134,190pt
2000位	  134,070pt
2999位	  103,205pt
3000位	  103,195pt
4999位	  64,973pt
5000位	  64,970pt
7999位	  30,230pt
7999位	  30,230pt
8000位	30230pt(同順位補正)
2021/02/04 16:59	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-04T16:59:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
