1位	  10,135,120pt
2位	  5,170,585pt
3位	  5,146,720pt
9位	  3,149,095pt
10位	  2,674,390pt
11位	  2,469,462pt
19位	  1,526,316pt
20位	  1,507,595pt
21位	  1,406,266pt
29位	  1,130,633pt
30位	  1,102,800pt
149位	  387,725pt
150位	  382,881pt
499位	  177,030pt
500位	  176,860pt
999位	  111,741pt
1000位	  111,665pt
1999位	  70,380pt
2000位	  70,370pt
2999位	  52,960pt
3000位	  52,920pt
4990位	  32,005pt
4999位	  31,945pt
5000位	  31,940pt
8000位	  14,875pt
2021/02/02 17:04	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-02T17:04:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
