1位	  10,135,120pt
2位	  5,170,585pt
3位	  5,146,720pt
9位	  2,823,240pt
10位	  2,674,390pt
11位	  2,469,462pt
19位	  1,523,416pt
20位	  1,429,965pt
21位	  1,406,266pt
29位	  1,102,800pt
30位	  1,085,008pt
149位	  372,019pt
150位	  371,662pt
499位	  166,110pt
500位	  165,519pt
999位	  104,584pt
1000位	  104,575pt
1999位	  66,050pt
2000位	  66,040pt
2999位	  49,510pt
2999位	  49,510pt
3000位	49510pt(同順位補正)
4999位	  29,825pt
5000位	  29,820pt
7990位	  14,100pt
7990位	  14,100pt
7990位	  14,100pt
7990位	  14,100pt
7999位	  14,070pt
8000位	  14,065pt
2021/02/02 13:04	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-02T13:04:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
