1位	  18,085,220pt
2位	  8,319,790pt
3位	  7,466,920pt
9位	  4,829,270pt
10位	  4,199,160pt
11位	  3,439,458pt
19位	  2,681,733pt
20位	  2,628,342pt
21位	  2,604,598pt
29位	  1,926,960pt
30位	  1,883,952pt
149位	  750,424pt
150位	  749,840pt
499位	  349,201pt
500位	  348,915pt
999位	  221,498pt
1000位	  221,365pt
1999位	  145,286pt
2000位	  145,215pt
2999位	  112,530pt
3000位	  112,520pt
4999位	  71,030pt
5000位	  71,015pt
7999位	  33,115pt
8000位	  33,094pt
2021/02/04 23:00	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-04T23:00:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
