1位	  16,446,440pt
2位	  6,838,380pt
3位	  6,357,310pt
9位	  4,035,555pt
10位	  3,571,080pt
11位	  2,984,498pt
19位	  2,140,950pt
20位	  2,091,256pt
21位	  2,089,400pt
29位	  1,609,959pt
30位	  1,584,088pt
149位	  600,834pt
150位	  596,975pt
499位	  277,090pt
500位	  276,782pt
999位	  170,515pt
999位	  170,515pt
1000位	170515pt(同順位補正)
1999位	  111,755pt
2000位	  111,695pt
2999位	  85,886pt
3000位	  85,885pt
4999位	  53,670pt
5000位	  53,655pt
8000位	  24,950pt
2021/02/03 23:00	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-03T23:00:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
