1位	  18,423,020pt
2位	  8,751,130pt
3位	  7,566,365pt
9位	  4,944,280pt
10位	  4,199,160pt
11位	  3,747,682pt
19位	  2,984,958pt
20位	  2,904,743pt
21位	  2,829,650pt
29位	  2,329,575pt
30位	  2,089,210pt
149位	  812,917pt
150位	  812,191pt
499位	  377,575pt
500位	  377,450pt
999位	  243,295pt
1000位	  243,080pt
1999位	  162,625pt
2000位	  162,620pt
2999位	  124,530pt
3000位	  124,520pt
4999位	  79,570pt
5000位	  79,539pt
7999位	  37,570pt
7999位	  37,570pt
8000位	37570pt(同順位補正)
2021/02/05 12:02	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-05T12:02:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
