1位	  28,825,120pt
2位	  15,609,660pt
3位	  13,630,980pt
9位	  7,688,458pt
10位	  7,597,733pt
11位	  7,278,540pt
19位	  6,169,600pt
20位	  6,000,110pt
21位	  5,313,340pt
29位	  4,100,040pt
30位	  4,000,042pt
149位	  1,635,360pt
150位	  1,634,265pt
499位	  778,605pt
500位	  778,109pt
999位	  421,775pt
1000位	  421,699pt
1999位	  280,750pt
2000位	  280,629pt
2999位	  227,099pt
3000位	  226,990pt
4999位	  147,861pt
5000位	  147,857pt
7999位	  71,492pt
8000位	  71,460pt
2021/02/07 12:48	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-07T12:48:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
