1位	  11,703,920pt
2位	  5,922,880pt
3位	  5,277,785pt
9位	  3,222,095pt
10位	  2,810,630pt
11位	  2,469,462pt
19位	  1,568,637pt
20位	  1,526,316pt
21位	  1,477,848pt
29位	  1,188,100pt
30位	  1,165,435pt
149位	  396,095pt
150位	  395,315pt
499位	  187,563pt
500位	  186,745pt
999位	  117,600pt
1000位	  117,543pt
1999位	  74,425pt
2000位	  74,410pt
3000位	  55,925pt
4999位	  33,980pt
5000位	  33,975pt
7999位	  15,680pt
8000位	  15,670pt
2021/02/02 19:44	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-02T19:44:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
