1位	  18,423,020pt
2位	  8,454,490pt
3位	  7,466,920pt
9位	  4,900,880pt
10位	  4,199,160pt
11位	  3,445,980pt
19位	  2,683,173pt
20位	  2,676,393pt
21位	  2,628,342pt
29位	  2,063,955pt
30位	  1,926,960pt
149位	  757,445pt
150位	  756,668pt
499位	  352,239pt
500位	  351,588pt
999位	  225,310pt
1000位	  225,307pt
1999位	  147,730pt
2000位	  147,706pt
2999位	  113,945pt
3000位	  113,940pt
4999位	  72,565pt
5000位	  72,555pt
7999位	  34,565pt
8000位	  34,550pt
2021/02/05 00:05	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-05T00:05:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
