1位	  3,498,700pt
2位	  3,000,325pt
3位	  2,386,842pt
9位	  1,741,918pt
10位	  1,648,940pt
11位	  1,430,957pt
19位	  972,953pt
20位	  929,740pt
21位	  927,092pt
29位	  709,855pt
30位	  684,830pt
149位	  228,855pt
150位	  228,619pt
499位	  96,464pt
500位	  96,220pt
999位	  57,455pt
1000位	  57,348pt
1999位	  32,650pt
2000位	  32,624pt
2999位	  23,480pt
3000位	  23,474pt
3000位	23470pt(同順位補正)
4990位	  14,570pt
4990位	  14,570pt
4999位	  14,555pt
5000位	  14,550pt
7989位	  6,700pt
7989位	  6,700pt
7989位	  6,700pt
7989位	  6,700pt
7989位	  6,700pt
7989位	  6,700pt
8000位	6690pt(同順位補正)
2021/02/01 13:01	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-01T13:01:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
