1位	  21,890,740pt
2位	  9,971,070pt
3位	  9,773,860pt
9位	  5,692,240pt
10位	  5,152,275pt
11位	  4,917,420pt
19位	  4,425,660pt
20位	  4,261,460pt
21位	  4,127,687pt
29位	  3,530,665pt
30位	  3,302,088pt
149位	  1,031,276pt
150位	  1,028,508pt
499位	  496,535pt
500位	  493,718pt
999位	  310,382pt
1000位	  310,230pt
1999位	  209,810pt
2000位	  209,775pt
2999位	  161,590pt
3000位	  161,525pt
4999位	  102,488pt
5000位	  102,480pt
7999位	  49,080pt
8000位	  49,070pt
2021/02/06 17:18	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-06T17:18:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
