1位	  3,235,935pt
2位	  2,989,825pt
3位	  2,386,842pt
9位	  1,741,918pt
10位	  1,621,040pt
11位	  1,393,996pt
19位	  972,953pt
20位	  913,892pt
21位	  904,490pt
29位	  668,069pt
30位	  657,750pt
149位	  225,005pt
150位	  224,931pt
499位	  94,320pt
500位	  94,300pt
999位	  55,395pt
1000位	  55,290pt
2000位	  31,430pt
2990位	  22,630pt
2999位	  22,595pt
3000位	  22,592pt
4989位	  13,980pt
4999位	  13,940pt
5000位	  13,920pt
8000位	6470pt(同順位補正)
2021/02/01 12:23	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-01T12:23:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
