1位	  18,011,420pt
2位	  8,283,190pt
3位	  7,466,920pt
9位	  4,829,270pt
10位	  4,199,160pt
11位	  3,439,458pt
19位	  2,681,733pt
20位	  2,628,342pt
21位	  2,579,715pt
29位	  1,883,952pt
30位	  1,882,389pt
149位	  749,840pt
150位	  738,106pt
499位	  348,385pt
500位	  348,000pt
999位	  219,983pt
1000位	  219,669pt
1999位	  144,915pt
2000位	  144,910pt
2999位	  111,804pt
3000位	  111,800pt
4999位	  70,765pt
5000位	  70,720pt
7999位	  32,895pt
8000位	  32,890pt
2021/02/04 22:45	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-04T22:45:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
