1位	  3,235,935pt
2位	  2,966,725pt
3位	  2,386,842pt
9位	  1,741,918pt
10位	  1,588,100pt
11位	  1,393,996pt
19位	  913,892pt
20位	  904,490pt
21位	  893,549pt
29位	  668,069pt
30位	  642,645pt
149位	  217,605pt
150位	  216,800pt
499位	  91,280pt
500位	  91,268pt
990位	  53,775pt
999位	  53,237pt
1000位	  53,182pt
1999位	  29,880pt
2000位	  29,870pt
2999位	  21,525pt
3000位	  21,524pt
4999位	  13,380pt
4999位	  13,380pt
5000位	13380pt(同順位補正)
8000位	6260pt(同順位補正)
2021/02/01 11:31	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-01T11:31:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
