1位	  15,405,860pt
2位	  6,695,100pt
3位	  5,952,190pt
9位	  3,571,080pt
10位	  3,421,025pt
11位	  2,773,762pt
19位	  2,018,570pt
20位	  2,018,565pt
21位	  1,921,040pt
29位	  1,358,340pt
30位	  1,326,868pt
149位	  516,566pt
150位	  512,930pt
499位	  241,094pt
500位	  240,867pt
999位	  147,662pt
1000位	  147,450pt
1999位	  95,885pt
2000位	  95,865pt
2999位	  72,960pt
3000位	  72,940pt
4999位	  45,350pt
5000位	  45,340pt
7999位	  21,100pt
7999位	  21,100pt
8000位	21100pt(同順位補正)
2021/02/03 12:09	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-03T12:09:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
