1位	  19,700,660pt
2位	  9,225,550pt
3位	  8,378,660pt
9位	  5,001,380pt
10位	  4,425,660pt
11位	  4,034,514pt
19位	  3,531,494pt
20位	  3,503,220pt
21位	  3,430,460pt
29位	  2,727,368pt
30位	  2,683,030pt
149位	  912,072pt
150位	  910,210pt
499位	  429,395pt
500位	  428,550pt
999位	  274,113pt
1000位	  274,033pt
1999位	  184,372pt
2000位	  184,350pt
2999位	  141,984pt
3000位	  141,960pt
4999位	  90,490pt
5000位	  90,475pt
7999位	  43,439pt
8000位	  43,430pt
2021/02/06 00:19	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-06T00:19:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
