1位	  10,133,520pt
2位	  5,149,885pt
3位	  4,819,270pt
9位	  2,823,240pt
10位	  2,674,390pt
11位	  2,469,462pt
19位	  1,523,416pt
20位	  1,406,266pt
21位	  1,394,090pt
29位	  1,102,800pt
30位	  1,060,296pt
149位	  365,960pt
150位	  365,780pt
499位	  165,200pt
500位	  165,160pt
999位	  103,298pt
1000位	  103,275pt
1999位	  65,420pt
2000位	  65,393pt
2999位	  48,805pt
3000位	  48,795pt
5000位	29540pt(同順位補正)
7990位	  14,040pt
8000位	14020pt(同順位補正)
2021/02/02 12:39	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-02T12:39:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
