1位	  20,419,560pt
2位	  9,380,450pt
3位	  8,798,300pt
9位	  5,225,700pt
10位	  4,687,635pt
11位	  4,597,100pt
19位	  4,056,273pt
20位	  4,034,514pt
21位	  3,932,326pt
29位	  3,109,030pt
30位	  3,099,968pt
149位	  952,152pt
150位	  948,717pt
499位	  464,710pt
500位	  464,660pt
999位	  297,930pt
1000位	  297,758pt
1999位	  199,295pt
2000位	  199,182pt
2999位	  152,821pt
3000位	  152,775pt
4999位	  97,070pt
5000位	  97,069pt
7990位	  47,035pt
7999位	  46,922pt
8000位	  46,920pt
2021/02/06 12:00	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-06T12:00:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
