1位	  21,828,940pt
2位	  9,950,070pt
3位	  9,773,860pt
9位	  5,690,740pt
10位	  5,118,135pt
11位	  4,917,420pt
19位	  4,425,660pt
20位	  4,261,460pt
21位	  4,055,913pt
29位	  3,530,665pt
30位	  3,302,088pt
149位	  1,028,508pt
150位	  1,012,708pt
499位	  495,403pt
500位	  493,718pt
999位	  310,219pt
1000位	  310,155pt
1999位	  209,080pt
2000位	  209,044pt
2999位	  161,151pt
3000位	  161,145pt
4999位	  102,360pt
5000位	  102,295pt
7999位	  48,985pt
7999位	  48,985pt
8000位	48985pt(同順位補正)
2021/02/06 17:04	ｱﾋﾟｰﾙﾎﾟｲﾝﾄ :  		ISO8601:2021-02-06T17:04:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
