1位	  31,444,580pt
2位	  24,730,680pt
3位	  21,983,940pt
9位	  10,160,040pt
10位	  8,631,800pt
11位	  8,258,190pt
19位	  5,529,040pt
20位	  5,481,890pt
99位	  2,707,760pt
100位	  2,680,690pt
499位	  479,740pt
500位	  477,130pt
999位	  210,560pt
1000位	  210,260pt
1999位	  69,270pt
2000位	  69,220pt
2999位	  21,470pt
3000位	  21,410pt
4989位	  730pt
4989位	  730pt
4989位	  730pt
4989位	  730pt
4989位	  730pt
4989位	  730pt
4989位	  730pt
4989位	  730pt
4999位	  720pt
4999位	  720pt
5000位	720pt(同順位補正)
10000位	null(同順位補正)
2021/04/30 18:36	Mﾌｪｽ2021ﾎﾟｲﾝﾄ :  		ISO8601:2021-04-30T18:36:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
