1位	  331,271,280pt
2位	  217,891,460pt
3位	  101,259,230pt
9位	  67,100,640pt
10位	  58,268,970pt
11位	  56,596,730pt
19位	  34,861,420pt
20位	  34,709,630pt
99位	  14,280,220pt
100位	  14,262,120pt
499位	  4,808,390pt
500位	  4,804,780pt
999位	  2,947,110pt
1000位	  2,944,040pt
1999位	  1,599,730pt
2000位	  1,598,750pt
2999位	  1,004,610pt
3000位	  1,004,000pt
4999位	  413,520pt
5000位	  413,190pt
9999位	  86,300pt
10000位	  86,270pt
2021/05/01 17:31	Mﾌｪｽ2021ﾎﾟｲﾝﾄ :  		ISO8601:2021-05-01T17:31:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
