1位	  143,643,907pt
2位	  137,216,139pt
3位	  133,074,933pt
9位	  71,156,102pt
10位	  69,679,900pt
11位	  65,979,711pt
19位	  50,424,734pt
20位	  48,975,126pt
99位	  25,064,611pt
100位	  24,905,055pt
499位	  7,172,024pt
500位	  7,153,631pt
999位	  2,684,883pt
1000位	  2,660,550pt
1999位	  607,570pt
2000位	  607,320pt
2999位	  182,666pt
3000位	  182,500pt
4989位	  44,000pt
4989位	  44,000pt
4989位	  44,000pt
4989位	  44,000pt
4989位	  44,000pt
4989位	  44,000pt
4989位	  44,000pt
4989位	  44,000pt
4989位	  44,000pt
5000位	  43,800pt
10000位	null(同順位補正)
2021/02/07 18:11	興行成績 :  		ISO8601:2021-02-07T18:11:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
