1位	  3,677,230,052pt
2位	  3,175,328,688pt
3位	  2,749,172,550pt
9位	  1,904,598,785pt
10位	  1,609,749,933pt
11位	  1,429,345,732pt
19位	  1,022,583,454pt
20位	  1,015,338,072pt
99位	  332,327,545pt
100位	  331,004,708pt
499位	  122,796,658pt
500位	  122,625,657pt
999位	  74,156,098pt
1000位	  74,109,776pt
1999位	  40,727,533pt
2000位	  40,696,764pt
2999位	  26,659,657pt
3000位	  26,618,382pt
4999位	  13,419,777pt
5000位	  13,418,408pt
9999位	  2,070,432pt
10000位	  2,070,059pt
2021/02/11 23:42	興行成績 :  		ISO8601:2021-02-11T23:42:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
