1位	  364,360,285pt
2位	  334,019,761pt
3位	  320,130,584pt
9位	  227,764,210pt
10位	  225,273,865pt
11位	  205,491,136pt
19位	  190,874,688pt
20位	  187,949,358pt
99位	  83,481,511pt
100位	  82,899,855pt
499位	  23,039,794pt
500位	  23,017,238pt
999位	  10,659,861pt
1000位	  10,639,280pt
1999位	  3,893,119pt
2000位	  3,892,999pt
2999位	  1,469,255pt
3000位	  1,466,878pt
4999位	  605,067pt
5000位	  605,058pt
10000位	91000pt(同順位補正)
2021/02/07 23:22	興行成績 :  		ISO8601:2021-02-07T23:22:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
