1位	  3,255,740,549pt
2位	  3,050,748,343pt
3位	  2,719,672,232pt
9位	  1,904,515,835pt
10位	  1,609,590,413pt
11位	  1,429,345,732pt
19位	  1,015,169,861pt
20位	  985,889,303pt
99位	  315,388,825pt
100位	  312,783,422pt
499位	  112,406,095pt
500位	  112,297,897pt
999位	  67,619,744pt
1000位	  67,592,145pt
1999位	  36,195,206pt
2000位	  36,194,879pt
2999位	  23,553,173pt
3000位	  23,545,832pt
4999位	  11,271,790pt
5000位	  11,264,456pt
9999位	  1,604,451pt
10000位	  1,603,055pt
2021/02/11 13:02	興行成績 :  		ISO8601:2021-02-11T13:02:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
