1位	  8,322,445,580pt
2位	  7,402,871,731pt
3位	  6,656,922,234pt
9位	  5,001,054,441pt
10位	  4,229,362,540pt
11位	  3,246,236,806pt
19位	  1,733,936,455pt
20位	  1,666,805,880pt
99位	  847,890,481pt
100位	  841,702,113pt
499位	  392,445,552pt
500位	  391,874,855pt
999位	  290,967,866pt
1000位	  290,686,993pt
1999位	  176,762,594pt
2000位	  176,754,695pt
2999位	  131,574,462pt
3000位	  131,556,044pt
4999位	  80,358,981pt
5000位	  80,310,256pt
9999位	  17,167,156pt
10000位	  17,147,420pt
2021/02/16 00:02	興行成績 :  		ISO8601:2021-02-16T00:02:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
