1位	  3,925,371,542pt
2位	  3,216,145,948pt
3位	  2,830,195,012pt
9位	  1,904,673,510pt
10位	  1,609,984,898pt
11位	  1,548,179,866pt
19位	  1,044,072,535pt
20位	  1,028,996,170pt
99位	  362,993,752pt
100位	  362,880,672pt
499位	  139,197,140pt
500位	  138,698,224pt
999位	  86,497,815pt
1000位	  86,489,727pt
1999位	  48,456,038pt
2000位	  48,437,341pt
2999位	  32,719,844pt
3000位	  32,697,945pt
4999位	  17,003,783pt
5000位	  16,998,950pt
9999位	  2,781,508pt
10000位	  2,781,422pt
2021/02/13 00:05	興行成績 :  		ISO8601:2021-02-13T00:05:00+09:00(TIMEZONE:Japan,Asia/Tokyo)
